Ayam_Betutu Bali
Ayam_Cincane Kalimantan_Timur
Ayam_Taliwang Nusa_Tenggara_Timur
Bika_Ambon Sumatera_Utara
Binte_Biluhuta Gorontalo
Bubur_Pedas_Sambas Kalimantan_Barat
Gohu_Ikan Maluku_Utara
Gudeg Yogyakarta
Gulai_Belacan Riau
Gulai_Ikan_Patin Jambi
Ikan_Asar Maluku
Juhu_Singkah Kalimantan_Tengah
Kerak_Telor Jakarta
Lapa-lapa Sulawesi_Tenggara
Lumpia Jawa_Tengah
Otak-Otak Kepulauan_Riau
Pempek Sumatera_Selatan
Pendap Bengkulu
Rendang Sumatera_Barat
Rujak_Cingur Jawa_Timur
Sate_Bandeng Banten
Serabi Jawa_Barat
Seruit Lampung
Sop_Konro Sulawesi_Seltan
Sup_Ikan_Jantung_Pisang Sulawesi_Tengah
Tinutuan Sulawesi_Utara
